الفئة: جميع الفئات

الأسبوع.,edx: (في جميع أنحاء العالم),udemy: (في جميع أنحاء العالم)
2017-12-17,11,30
2017-12-24,11,31
2017-12-31,11,36
2018-01-07,13,47
2018-01-14,14,34
2018-01-21,13,35
2018-01-28,14,38
2018-02-04,14,33
2018-02-11,13,33
2018-02-18,14,36
2018-02-25,13,34
2018-03-04,13,35
2018-03-11,13,33
2018-03-18,14,36
2018-03-25,12,34
2018-04-01,13,38
2018-04-08,13,34
2018-04-15,12,33
2018-04-22,12,35
2018-04-29,12,33
2018-05-06,12,35
2018-05-13,13,36
2018-05-20,12,37
2018-05-27,12,37
2018-06-03,13,40
2018-06-10,12,36
2018-06-17,12,37
2018-06-24,13,38
2018-07-01,12,36
2018-07-08,12,37
2018-07-15,11,36
2018-07-22,13,36
2018-07-29,13,42
2018-08-05,12,36
2018-08-12,11,36
2018-08-19,12,35
2018-08-26,12,40
2018-09-02,12,38
2018-09-09,13,34
2018-09-16,12,35
2018-09-23,12,34
2018-09-30,12,34
2018-10-07,13,30
2018-10-14,12,35
2018-10-21,11,35
2018-10-28,11,32
2018-11-04,10,34
2018-11-11,11,37
2018-11-18,10,55
2018-11-25,12,53
2018-12-02,11,36
2018-12-09,10,37
2018-12-16,9,35
2018-12-23,8,33
2018-12-30,9,39
2019-01-06,12,55
2019-01-13,10,43
2019-01-20,10,39
2019-01-27,12,42
2019-02-03,11,40
2019-02-10,11,40
2019-02-17,10,37
2019-02-24,9,33
2019-03-03,10,35
2019-03-10,10,36
2019-03-17,10,37
2019-03-24,10,36
2019-03-31,10,37
2019-04-07,10,35
2019-04-14,9,31
2019-04-21,9,35
2019-04-28,9,33
2019-05-05,10,36
2019-05-12,10,38
2019-05-19,10,38
2019-05-26,10,42
2019-06-02,11,43
2019-06-09,11,51
2019-06-16,12,49
2019-06-23,12,44
2019-06-30,12,43
2019-07-07,11,46
2019-07-14,11,49
2019-07-21,11,46
2019-07-28,11,47
2019-08-04,11,47
2019-08-11,10,46
2019-08-18,12,53
2019-08-25,11,60
2019-09-01,11,50
2019-09-08,12,47
2019-09-15,11,52
2019-09-22,12,52
2019-09-29,11,51
2019-10-06,11,51
2019-10-13,12,49
2019-10-20,11,49
2019-10-27,10,45
2019-11-03,10,50
2019-11-10,10,46
2019-11-17,10,51
2019-11-24,9,67
2019-12-01,10,62
2019-12-08,9,53
2019-12-15,10,53
2019-12-22,9,48
2019-12-29,9,56
2020-01-05,11,72
2020-01-12,10,57
2020-01-19,12,56
2020-01-26,11,59
2020-02-02,11,58
2020-02-09,11,59
2020-02-16,12,61
2020-02-23,11,58
2020-03-01,11,60
2020-03-08,10,55
2020-03-15,15,77
2020-03-22,17,94
2020-03-29,20,99
2020-04-05,22,97
2020-04-12,24,96
2020-04-19,24,90
2020-04-26,22,83
2020-05-03,21,87
2020-05-10,21,90
2020-05-17,19,81
2020-05-24,18,77
2020-05-31,17,76
2020-06-07,17,75
2020-06-14,17,71
2020-06-21,18,73
2020-06-28,18,73
2020-07-05,16,77
2020-07-12,15,76
2020-07-19,15,70
2020-07-26,15,68
2020-08-02,14,67
2020-08-09,14,69
2020-08-16,13,66
2020-08-23,13,71
2020-08-30,13,67
2020-09-06,12,64
2020-09-13,11,64
2020-09-20,12,62
2020-09-27,10,57
2020-10-04,11,64
2020-10-11,9,55
2020-10-18,9,51
2020-10-25,8,49
2020-11-01,8,45
2020-11-08,8,48
2020-11-15,9,50
2020-11-22,8,62
2020-11-29,9,59
2020-12-06,8,51
2020-12-13,8,52
2020-12-20,8,51
2020-12-27,8,61
2021-01-03,9,67
2021-01-10,10,58
2021-01-17,9,58
2021-01-24,10,56
2021-01-31,9,61
2021-02-07,9,55
2021-02-14,9,57
2021-02-21,9,57
2021-02-28,9,58
2021-03-07,9,54
2021-03-14,9,54
2021-03-21,9,55
2021-03-28,9,51
2021-04-04,9,54
2021-04-11,8,55
2021-04-18,9,58
2021-04-25,8,56
2021-05-02,8,54
2021-05-09,9,57
2021-05-16,9,58
2021-05-23,9,66
2021-05-30,9,61
2021-06-06,9,58
2021-06-13,9,57
2021-06-20,9,56
2021-06-27,9,57
2021-07-04,9,59
2021-07-11,9,64
2021-07-18,9,55
2021-07-25,9,56
2021-08-01,8,54
2021-08-08,8,55
2021-08-15,8,60
2021-08-22,9,53
2021-08-29,8,53
2021-09-05,8,51
2021-09-12,8,54
2021-09-19,9,56
2021-09-26,8,51
2021-10-03,8,51
2021-10-10,7,48
2021-10-17,8,50
2021-10-24,8,48
2021-10-31,8,44
2021-11-07,8,47
2021-11-14,8,52
2021-11-21,7,63
2021-11-28,7,58
2021-12-05,7,54
2021-12-12,7,53
2021-12-19,7,53
2021-12-26,7,57
2022-01-02,11,100
2022-01-09,11,92
2022-01-16,10,86
2022-01-23,12,86
2022-01-30,11,86
2022-02-06,11,84
2022-02-13,11,84
2022-02-20,11,81
2022-02-27,10,77
2022-03-06,10,80
2022-03-13,10,80
2022-03-20,11,77
2022-03-27,11,73
2022-04-03,11,76
2022-04-10,10,74
2022-04-17,10,72
2022-04-24,10,75
2022-05-01,9,71
2022-05-08,9,73
2022-05-15,10,79
2022-05-22,10,89
2022-05-29,10,80
2022-06-05,10,79
2022-06-12,10,80
2022-06-19,10,90
2022-06-26,10,84
2022-07-03,10,88
2022-07-10,10,83
2022-07-17,10,91
2022-07-24,10,88
2022-07-31,9,87
2022-08-07,10,89
2022-08-14,10,85
2022-08-21,10,92
2022-08-28,10,87
2022-09-04,10,84
2022-09-11,10,83
2022-09-18,10,82
2022-09-25,9,79
2022-10-02,9,74
2022-10-09,9,79
2022-10-16,10,75
2022-10-23,9,73
2022-10-30,9,80
2022-11-06,9,77
2022-11-13,9,83
2022-11-20,8,87
2022-11-27,9,80
2022-12-04,8,76
