,course_title,subject,num_lectures,num_reviews,content_duration,price,hourly_price
0,The Web Developer Bootcamp,Web Development,342,27445,43.0,200,4.651162790697675
1,The Complete Web Developer Course 2.0,Web Development,304,22412,30.5,200,6.557377049180328
2,Angular 4 (formerly Angular 2) - The Complete Guide,Web Development,329,19649,22.0,190,8.636363636363637
3,JavaScript: Understanding the Weird Parts,Web Development,85,16976,11.5,175,15.217391304347826
4,Modern React with Redux,Web Development,150,15117,26.5,180,6.7924528301886795
5,Learn and Understand AngularJS,Web Development,55,11580,7.0,175,25.0
6,Learn and Understand NodeJS,Web Development,98,11123,13.0,195,15.0
7,Angular 2 with TypeScript for Beginners: The Pragmatic Guide,Web Development,194,8341,9.5,150,15.789473684210526
8,Pianoforall - Incredible New Way To Learn Piano & Keyboard,Musical Instruments,362,7676,30.0,200,6.666666666666667
9,Build Responsive Real World Websites with HTML5 and CSS3,Web Development,77,7106,12.0,195,16.25
10,The Complete ASP.NET MVC 5 Course,Web Development,138,6357,7.5,190,25.333333333333332
11,Vue JS 2 - The Complete Guide (incl. Vue Router & Vuex),Web Development,329,4675,18.0,190,10.555555555555555
12,Ultimate Web Designer & Developer Course: Build 23 Projects!,Web Development,246,4434,32.5,200,6.153846153846154
13,The Complete JavaScript Course: Build a Real-World Project,Web Development,113,4340,17.5,195,11.142857142857142
14,PHP for Beginners -Become a PHP Master - Project Included,Web Development,286,4316,30.5,200,6.557377049180328
15,The Complete Ruby on Rails Developer Course,Web Development,283,3809,31.5,195,6.190476190476191
16,Advanced React and Redux,Web Development,119,3326,12.0,140,11.666666666666666
17,Angular (Angular 2 or 4) & NodeJS - The MEAN Stack Guide,Web Development,111,3166,8.5,150,17.647058823529413
18,Docker Technologies for DevOps and Developers,Web Development,44,3137,3.0,30,10.0
19,Complete Guitar System - Beginner to Advanced,Musical Instruments,310,2713,34.0,145,4.264705882352941
20,ES6 Javascript: The Complete Developer's Guide,Web Development,68,2709,6.5,80,12.307692307692308
21,Beginner to Pro in Excel: Financial Modeling and Valuation,Business Finance,138,2697,7.5,195,26.0
22,Learn Javascript & JQuery From Scratch,Web Development,10,2685,2.0,30,15.0
23,Forex Trading A-Z™ - With LIVE Examples of Forex Trading,Business Finance,52,2476,5.5,195,35.45454545454545
24,Become a Web Developer from Scratch,Web Development,197,2408,27.5,120,4.363636363636363
25,The Ultimate Drawing Course - Beginner to Advanced,Graphic Design,62,2379,11.0,150,13.636363636363637
26,The Complete Financial Analyst Course 2017,Business Finance,174,2347,10.0,195,19.5
27,Guitar Super System Level 1,Musical Instruments,104,2257,5.0,50,10.0
28,AngularJS JumpStart with Dan Wahlin,Web Development,113,2144,10.0,75,7.5
29,The Complete WordPress Website Business Course,Web Development,89,1981,20.5,150,7.317073170731708
30,Build Websites from Scratch with HTML & CSS,Web Development,77,1955,8.0,145,18.125
31,Webpack 2: The Complete Developer's Guide,Web Development,56,1893,5.5,75,13.636363636363637
32,Python and Django Full Stack Web Developer Bootcamp,Web Development,191,1883,31.5,200,6.349206349206349
33,Ultimate Angular 4 (previously Angular 2) with Bootstrap 4,Web Development,80,1846,5.5,50,9.090909090909092
34,PHP with Laravel for beginners - Become a Master in Laravel,Web Development,308,1838,29.5,150,5.084745762711864
35,The Complete Web Developer Masterclass: Beginner To Advanced,Web Development,316,1813,51.0,195,3.823529411764706
36,Graphic Design Bootcamp,Graphic Design,65,1740,8.0,200,25.0
37,Web Design for Beginners: Real World Coding in HTML & CSS,Web Development,58,1724,9.0,100,11.11111111111111
38,Sketch 3 from A to Z: Become an App Designer,Graphic Design,42,1629,3.5,75,21.428571428571427
39,Understanding TypeScript,Web Development,137,1560,7.0,110,15.714285714285714
40,The Complete Web Developer Bootcamp - Beginner to Expert,Web Development,197,1548,21.5,190,8.837209302325581
41,Git a Web Developer Job: Mastering the Modern Workflow,Web Development,61,1445,15.0,200,13.333333333333334
42,Meteor and React for Realtime Apps,Web Development,111,1384,9.0,140,15.555555555555555
43,The Complete Elixir and Phoenix Bootcamp,Web Development,123,1375,14.5,50,3.4482758620689653
44,Learn  Bootstrap Development By Building 10 Projects,Web Development,74,1358,13.5,60,4.444444444444445
45,The Professional Guitar Masterclass,Musical Instruments,136,1340,9.5,200,21.05263157894737
46,Advanced Javascript,Web Development,26,1304,3.5,200,57.142857142857146
47,The Complete Developers Guide to MongoDB,Web Development,129,1286,13.5,150,11.11111111111111
48,Complete PHP Course With Bootstrap3 CMS System & Admin Panel,Web Development,144,1225,20.0,195,9.75
49,The Complete Web Development Course -  Build 15 Projects,Web Development,384,1213,76.5,200,2.6143790849673203
